12|Hallway4|you enter a dingy hallway with a flickering light|As you peer closer at your sorroundings there seems to be dark smear trails leading down the hallway towards a door on the left|TRUE|FALSE|12|12
13|Hallway 5|the hallway seems to be in great disrepair as debirs is scattered everywhere|Closely examining the sourrounding area it seems that the debris wasn't caused by erosion at all! small holes and scorch marks scatter the hallway which makes you belive a battle took place within these halls|TRUE|FALSE|13|13
14|Armory|the armory seems completely emptied except for a single occupant|looking closer there seems to be some supplies that were overlooked. Within the room it seems the person is a security guard who hastly put on his bloody uniform and is in a corner clutching himself while he rocks back and forth|TRUE|TRUE|14|14
15|Lounge|The room is completely destroyed with bodies that litter every part of the room|examining the pile of bodies within the room the events that may have transpired become more clear. Now observing the make shift barricades covered in inmates bodies it seems this was the patients last push before they all got mowed down|TRUE|FALSE|15|15
16|Bathroom|the bathroom seems clean... strangely clean|As you take a further look you examine the stalls one by one until a particular stall catches your attention. Eminating a putrid smell that makes you gag, curosity gets the better of you. As you open the door a scene straight from a janitor's nightmare befalls you. Poop, poop everywhere! You are extremly astonished and disugusted to how the quantity of crap the lines the walls of the stalls and toilet. After staring at it for a while there seems to be something glittering within the toilet.|TRUE|FALSE|16|16
17|CellBlocka|it seems earily quiet as the only sounds are moaning of the prisoners||TRUE|FALSE|17|17
18|CellA|CellADesc|CellALongDesc|TRUE|FALSE|18|18
19|CellB|CellBDesc|CellBLongDesc|TRUE|FALSE|19|19
20|Cafeteria|Cafeteria Desc|Cafeteria LongDesc|TRUE|FALSE|20|20
21|CellBlockb|CellBlockbDesc|CellBlockbLongDesc|TRUE|FALSE|21|21
22|CellC|CellCDesc|CellCLongDesc|TRUE|FALSE|22|22
23|CellD|CellDDesc|CellDLongDesc|TRUE|FALSE|23|23
24|Vault|VaultDesc|VaultLongDesc|TRUE|FALSE|24|24
25|CellBlockc|CellBlockcDesc|CellBlockcLongDesc|TRUE|FALSE|25|25
26|CellE|CellEDesc|CellELongDesc|TRUE|FALSE|26|26
27|CellF|CellFDesc|CellFLongDesc|TRUE|FALSE|27|27
28|ExtraSolitary|ExtraSolitaryDesc|ExtraSolitaryLongDesc|TRUE|FALSE|28|28
29|NursesOffice|The Nurse continues poking at the patient.|A happy Nurse cares for a patient sitting on a chair. The patient is not responding.|TRUE|FALSE|29|29
30|MedicalBay|Medical Bay|Medical Equipment fills the room. A Nurse is shuffling through an empty box.|TRUE|FALSE|30|30
31|Therapy|The doctor is still talking.|A doctor is talking to an empty couch. Beside him sits an electric chair. The sponge is already wet.|TRUE|FALSE|31|31
32|Operating Room|Operating Room|The room appears to be an operating room. Tha janitor must have forgotten to clean up after the last operation.|TRUE|FALSE|32|32
33|Lab|The lab. A fight must have happened in here.|You've wondered into a lab. Equipment is thrown throughout the room with broken glass covering the floor.|TRUE|FALSE|33|33
34|Landing|Landing|The floor is painted in red. Definitely a weird choice of color to paint the bottom of a stairwell.|TRUE|FALSE|34|34
35|Electrical|The Electrical Room|The electrical room. Wires run throughout the room. The worst wire organization.|TRUE|FALSE|35|35
36|Pipes|The man continues playing the harmonica.|A man leans on the side of the pipes, playing a harmonica. No noise is coming out, but he appears to not be concerned.|TRUE|FALSE|36|36
37|Morgue|The cleanest of rooms...The Morgue|The morgue, a dreadful place indeed. This room is somehow the cleanest in the building. No bodies to be seen.|TRUE|FALSE|37|37
38|Boiler|Boiler Room|A very hot room indeed. Nothing seems unusual in here.|TRUE|FALSE|38|38
39|Laundry|Laundry Room|Clothes are thrown on the floor. Every article of clothing appears to be stained. The washing and drying machines are running, but do not contain clothes.|TRUE|FALSE|39|39
40|Hallway6|The hallway has various connections.|The hallway has various connections.|TRUE|FALSE|40|40
41|Janitor's Office|The janitor's office.|A master key hangs on the wall.|TRUE|FALSE|41|41
42|Security Office|Janitor's OfficeDesc|Janitor's OfficeLongDesc|TRUE|FALSE|42|42
